document,entities,intent
I need to get a table for 6 people at 16:00 on friday as well,[],book_hotel
Thank you so much for your help.,[],NONE
I am looking for a place to stay in cambridge in the moderate price range with 4 stars,"['hotel-pricerange', 'hotel-stars']",find_hotel
"No, but it should be in the east.",['hotel-area'],find_hotel
Pick one and book me for 5 people lasting three nights starting Friday please.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Thanks for the room booking. Can you locate a restaurant for me, too? The name is pizza express Fen Ditton.",[],book_hotel
"Yes, for 5 people on Friday around 13:45, please",[],book_hotel
Okay....well I'm over here waiting....don't forget the reference number too,[],NONE
"Yes it is, but if 13:45 time isn't working then 12:45 would also be acceptable.",[],NONE
Maybe you could try again?,[],NONE
"Great, thanks for your help! Have a good one.",[],NONE
"Hi, I'm trying to find a place to stay called the cambridge belfry. What can you tell me about that?",['hotel-name'],find_hotel
"Sounds perfect. Can you book a room for me for 6 people, 5 nights starting on Friday? Please send me the reference number.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thank you for the reference number. Are there any cheap places to dine in the North area?,[],NONE
Any of the two would work. As long as you can book it for 6 people on the same day for 13:30.,[],NONE
"Ok, try 12:30.",[],NONE
I would like to book a taxi from the hotel to the restaurant.,[],book_hotel
That's all i need. Thank you.,[],NONE
"No, that is all I need for today. Good bye.",[],NONE
Is the alpha-milton guest house still in operation?,['hotel-name'],find_hotel
Great. Can you reserve a room for me for Thursday? There will be 2 of us and we would like to stay for 2 nights.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
I am also looking for thai food in centre please.,[],NONE
Okay please book a table for the same group of people at 14:15 on the same day.,[],NONE
Thank you. I also need a taxi to get between the two.,[],NONE
i need to get from the hotel to the restaurant,[],NONE
I want to go from the Alpha-Milton to Bangkok City by 14:15.,[],NONE
"No, that's all I need. Thank you for your help.",[],NONE
"Hello there, when I visit Cambridge, I'd love to go to a college. Are there any in the centre?",[],NONE
Corpus Christi is fine. May I have the address and phone number? What is the entrance fee?,[],NONE
"Yes, I am looking for a place to stay. Can you recommend a 2 star hotel?","['hotel-stars', 'hotel-type']",find_hotel
"I'm not looking to book just now, but are any of those a bit more moderately priced? I'm on a budget.",['hotel-pricerange'],find_hotel
"Yes, sorry, I'm getting more information from my group just now. If the Ashley has wifi, can you please book a stay for 7 for 2 nights, starting Friday?","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-internet', 'hotel-name']",book_hotel
"Yeah, try shortening the stay to one night only.",[],book_hotel
That's all I needed! Thank you,[],NONE
Can you tell me the address to the police station in Cambridge?,[],NONE
Thanks. Would you be able to help me find a place to stay in the east side of town?,['hotel-area'],find_hotel
"That doesn't matter. I would like a 4 star hotel though, please.",['hotel-stars'],find_hotel
Does that place have free wifi?,['hotel-internet'],find_hotel
"That is sufficient, please book me for 8 people, 5 nights staring on friday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Also looking for a train leaving Norwich after 14:00 and arriving in Cambridge on Friday.,[],book_hotel
Can you please give me the travel time.,[],NONE
"no I don't need you to do that, thank you",[],NONE
That is all. Thank you!,[],NONE
I need a guesthouse in the center of the town please.,"['hotel-area', 'hotel-type']",find_hotel
I need it to b moderately priced and include free wifi.,"['hotel-internet', 'hotel-pricerange']",find_hotel
Can we try in the north instead?,[],find_hotel
"Alright, can you book me a room please. I want to stay on Sunday for 2 nights.","['hotel-bookday', 'hotel-bookstay']",book_hotel
It looks like we'll have a total of 5 people in our party.,['hotel-bookpeople'],book_hotel
I am looking for a place to dine.,[],NONE
I would like to find Asian Oriental.,[],NONE
It doesn't matter as long as it is near the hotel.,[],NONE
"Yes, Sunday, 5 people for 15:30.",[],book_hotel
Thank you! I would also like a taxi to get from the guesthouse to the restaurant.,[],book_hotel
i also want to book a taxi to commute between the two places.,[],NONE
"Actually just one taxi was enough, thank you. That's all I need.",[],NONE
have a lovely day.,[],NONE
"Hi, I am looking for a 4 star guesthouse.","['hotel-stars', 'hotel-type']",find_hotel
"Money is no object, but I'd like it to be a 4 star location please. And I'd only like to stay on the north side of town.",['hotel-area'],find_hotel
I need a place that has enough beds for 7 persons for 3 nights starting this Thursday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yeah, how about for one day? Please get me the reference number if that works",[],book_hotel
Whatever is available. But I would prefer a guesthouse with free parking.,['hotel-parking'],book_hotel
"No, that about covers everything. Thanks for your help.",[],NONE
I am looking for information in Cambridge,[],NONE
I am looking for a guesthouse in the north. I would like it to be expensive and include free wifi.,"['hotel-area', 'hotel-internet', 'hotel-pricerange', 'hotel-type']",find_hotel
What about one in the moderate price range?,[],find_hotel
Yes I do need the free wifi.,[],find_hotel
"Yes, that would be good. Can you just let me know the star rating of the hotel, whether they have free parking, and address? Thanks",['hotel-parking'],find_hotel
I also need to find a train for Friday going to Cambridge from Norwich and leaving after 15:15.,[],NONE
No need to book the tickets I just needed the info. Thats all I needed thanks,[],NONE
"No, that will be all. Thank you!",[],NONE
I am looking for a place to stay. The hotel should include free parking and should be in the type of guesthouse,"['hotel-parking', 'hotel-type']",find_hotel
It should be in the west and have a star rating of 4.,"['hotel-area', 'hotel-stars']",find_hotel
I'd like to book for 7 people 2 nights on saturday please,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thank you for your help,[],NONE
"No, there's nothing more.",[],book_hotel
Hello! I'm just planning my trip to Cambridge and need train schedules.,[],NONE
"depart from birmingham new street ,I want to leave on Friday and arrive by 14:30",[],find_hotel
Book it for myself.,[],NONE
I'm sorry. Yes. Please book the train on Friday arriving by 14:30 for one person.,[],find_hotel
"I'm looking for a hotel to stay in the north, specifically, a guesthouse.","['hotel-area', 'hotel-type']",find_hotel
Sure! Does it include free parking? If so I am looking for a reservation for 1 starting friday for 3 nights.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"That is all I need, thank you. Bye.",[],NONE
I am visiting Cambridge and would like to stay at Allenbell can you help give me some information on it?,['hotel-name'],find_hotel
i wish to book it for 5 people and 4 nights starting from friday,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thank you! I appreciate you providing the reference number.,[],book_hotel
I was wondering do they serve complimentary breakfast?,[],book_hotel
I am also looking for some recommendations on places to go in the east.,[],NONE
The only requirement I have is that it be located in the east area of town. Surprise me.,[],NONE
please get phone number and attraction type.thanks,[],NONE
"Perfect, thanks. Can you find me a taxi to commute between the two? I'd like to leave the hotel by 11:00, please.",[],NONE
Great. Can you please give me the contact number for the audi?,[],NONE
"Thank you, that is all I needed.",[],NONE
"Hi there, I'd love to find a guesthouse with free parking.","['hotel-parking', 'hotel-type']",find_hotel
Well I would like something with 3 stars. I don't care about the internet.,['hotel-stars'],find_hotel
That sounds interesting. Do they happen to have free wifi?,[],find_hotel
"I really would like it to have a 3 star rating. If Bridge Guest House does, then yes, please make a reservation for 3 people arriving on Monday.","['hotel-bookday', 'hotel-bookpeople']",book_hotel
Please make a reservation for 3 nights.,['hotel-bookstay'],book_hotel
"No, that's all I need today. Thanks for your help!",[],NONE
Please help me locate a restaurant in the centre that serves South Indian food. Thanks.,[],NONE
Is there one that serves seafood?,[],NONE
No. May I have the phone number?,[],NONE
"Yes, I also need to find a cheap hotel.",['hotel-pricerange'],find_hotel
"Something with free parking, 2 star, and is in the moderate price range.","['hotel-parking', 'hotel-stars']",find_hotel
That is great. Can you book me for 3 people for 3 nights beginning on Thursday?,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, I am going to need a taxi to go between the two places.",[],NONE
I want to leave the restaurant by 12:45. Please give me car type and contact number.,[],NONE
Thank you for your help you've been great!,[],NONE
"Hi, I'm looking for information on the Autumn House. It's a hotel.",['hotel-name'],find_hotel
On Sunday. I want to make sure it's the place I'm thinking of first. Can you provide me with information about the hotel?,[],find_hotel
That's the one! Could you make a reservation for me? There are two of us coming in on sunday and we'd like to stay for 4 nights.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Can you please help me find an expensive restaurant in the south?,[],NONE
"Sure, could you tell me the phone number, postcode, and address please?",[],NONE
"That is all, thank you for your help",[],NONE
"I'm in search of a place to stay. A hotel, please, with free parking.",['hotel-parking'],find_hotel
It would be great if it included wifi and was in the north.,"['hotel-area', 'hotel-internet', 'hotel-type']",find_hotel
"Yes please,parking and WiFi and Car Rental.",[],find_hotel
Yes. I need the reference number too,[],find_hotel
"Friday, 5 nights, beginning this friday.","['hotel-bookday', 'hotel-bookstay']",book_hotel
There will be 3 people.,['hotel-bookpeople'],book_hotel
"Yes, as long as it's in the same price range.",[],book_hotel
"That is everything, thank you.",[],NONE
I would like information about museums in Cambridge.,[],NONE
Can you tell me about museums in the centre of town?,[],NONE
I also want to find the hotel called Archway House.,['hotel-name'],find_hotel
"Yes, please book for 4 nights on Friday for 4 people.","['hotel-area', 'hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
That is all. Thank you so much for your help.,[],NONE
"Hi, i want to find out about the man on the moon attraction please.",[],NONE
"Yes can I get the postcode, and it's a concerthall you said?",[],NONE
"Excellent, I also need a cheap guesthouse, please.","['hotel-pricerange', 'hotel-type']",find_hotel
I need free parking and wifi.,['hotel-internet'],find_hotel
"Yes, please. For 6 people for 3 nights starting on tuesday","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
How about for 2 nights instead?,[],book_hotel
Please try for one night.,"['hotel-area', 'hotel-parking', 'hotel-stars']",book_hotel
No that was it. Thank you so much for your help.,[],NONE
I'm looking for a place to stay in the moderate price range. It doesn't need to have free parking.,"['hotel-parking', 'hotel-pricerange']",find_hotel
"It should be on the east side, and have free wifi, no food preferences though.","['hotel-area', 'hotel-internet']",find_hotel
I do not need free parking. Can you book one of them for Thursday? I have 8 people and we need to stay for 2 nights.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thank you for your help in booking the hotel for me!,[],book_hotel
I also also need a place to eat in the moderate price range in the same area as the hotel,[],book_hotel
I would like to book a table at the Italian restaurant for 8 people on Thursday at 14:45. Can I have the reference number for that as well?,[],book_hotel
"Yes, I would like to book a taxi from the hotel to the restaurant.",[],book_hotel
Great thank you for all your help,[],NONE
I am looking for a museum to visit in the centre of cambridge.,[],NONE
"That sounds great, can you tell me their full address and postcode, please?",[],NONE
"Yes, can you help me find some places to eat?",[],NONE
"Yes, please. It should be in the cheap price range.",[],NONE
Asian food please.,[],NONE
"Also, I need to book a hotel with free wifi, and it doesn't need to have free parking. The price should be cheap or moderate, and I need the postcode.","['hotel-internet', 'hotel-parking', 'hotel-pricerange', 'hotel-type']",find_hotel
"Not right now, thanks. I do need a taxi, though. I want to leave the hotel at 03:30 (I'm an early riser!) and head to the museum.",[],NONE
Thank you that is all I needed.,[],NONE
I would like to get some info on the pembroke college please.,[],NONE
Thanks. That answers my questions.,[],NONE
I also need a hotel.,['hotel-type'],find_hotel
I would like that to be located in the north.,['hotel-area'],find_hotel
"No particular price range, but I would like it to be 4 stars.",['hotel-stars'],find_hotel
That sounds great. Could you book it please for 6 people for 4 nights? I want to get there tuesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thank you so much for booking that for me!,[],NONE
"Need a hostel, free parking and in the north please.","['hotel-area', 'hotel-parking']",find_hotel
I would prefer a hotel with a 4 star rating.,"['hotel-stars', 'hotel-type']",find_hotel
It can be a guesthouse or a hotel. Does that open up my options?,[],find_hotel
Any one of them would be fine. Can I get the post code and phone number?,[],find_hotel
Yes please make a reservation.,[],NONE
Just one person please.,[],find_hotel
"Actually, I need to know, does the Acorn guesthouse have internet?",['hotel-name'],find_hotel
Great! I'm also looking for a restaurant in the same area as the hotel that serves expensive french food.,[],NONE
"No, I don't need a reservation. I could use the address, postcode and phone number though.",[],NONE
Great. Thanks for all your help!,[],NONE
I need a train leaving broxbourne on wednesday. Can you book it for me?,[],find_hotel
I need to arrive in Cambridge by 11:45.,[],NONE
"yeah, what's the price of the tickets?",[],NONE
"Yes, please. I'm also looking for a hotel that's cheap and in the north.","['hotel-area', 'hotel-pricerange']",find_hotel
I'm looking for a guesthouse rental that has free parking.,"['hotel-parking', 'hotel-type']",find_hotel
"No, but it should have a star of 4.",['hotel-stars'],find_hotel
"Would you book it for me, please. There are 3 of us staying for 5 nights.","['hotel-bookpeople', 'hotel-bookstay']",book_hotel
We will be checking in on Tuesday.,['hotel-bookday'],book_hotel
Can you try another hotel in the same price range?,['hotel-pricerange'],book_hotel
Thank you for your help. That will be all for now.,[],book_hotel
I am looking for a place to stay in the south.,['hotel-area'],find_hotel
"I am looking to stay at a place with four stars, please.",['hotel-stars'],find_hotel
thank you for the help,[],NONE
Can you locate any four star places to stay?,['hotel-stars'],find_hotel
Are there any with free wifi available?,['hotel-internet'],find_hotel
I would like for it to be in the Centre.,['hotel-area'],find_hotel
"Hmm, I kind of was looking for something 4 star rated with free wifi but in the moderate price range if possible. Do you have anything like that?",['hotel-pricerange'],find_hotel
Can you try a guesthouse?,['hotel-type'],find_hotel
how about one that is in the type of guesthouse?,[],find_hotel
"Yeah, sorry. Any area is actually fine. I just want somewhere with 4 stars, moderately priced with wifi. Preferably a hotel, but guesthouse is ok if no hotels available.",[],find_hotel
"yes, i want to book it for 7 people and 5 nights starting from sunday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Yes please - I love interesting architecture. Is there anything interesting in the west?,[],NONE
Can you chekc for colleges,[],NONE
Get me their phone number please,[],NONE
Thank you.Good bye.,[],NONE
I'm hoping to book a train from bishops stortford to cambridge. Please list all times for that route.,[],NONE
I need to leave Wednesday and arrive after 11:15.,[],NONE
I would like to leave after 11:15.,[],NONE
"no, i want that day and time please",[],NONE
"Well, I need to know the arrival time first.",[],NONE
"Yeah, that works. Can you recommend a 0 star hotel for me?","['hotel-stars', 'hotel-type']",find_hotel
I need help finding a train departing from Cambridge and going to Leicester. Can you help?,[],NONE
I would like to go on Monday in the morning.,[],NONE
"Oh, I need to change the day to Friday for the train to Leicester and it needs to arrive by 17:45. Do you have something on that day?",[],NONE
Yes please book it for 7 people and give me a reference number.,[],NONE
"No, I also need to find a place to stay. I'm looking for a 3 star hotel.","['hotel-stars', 'hotel-type']",find_hotel
"Yes, hi. I am looking for a train to get me out of Cambridge to someplace fun. Can you help me with that?",[],NONE
"Yes, I would like to go to Peterborough. I want to travel on Friday and get there by 21:30.",[],NONE
I just need to get there by 21:30.,[],NONE
"To Peterborough, please, for 4 people. I need to arrive by 21:30.",[],NONE
"Thanks, I also need a place to stay in Cambridge. I don't care about free parking, though.",['hotel-parking'],find_hotel
I would like to stay in the south please.,['hotel-area'],find_hotel
Thank you. What is the postcode?,[],find_hotel
No thank you! That will be all!,[],NONE
I am looking for a guesthouse to stay in that has free parking.,"['hotel-parking', 'hotel-type']",find_hotel
No but can you find one in the moderate price range?,['hotel-pricerange'],find_hotel
No.What other Hotels are nearby ?,[],find_hotel
Go ahead and book the Archway House please and I need a reference number.,[],find_hotel
There will be two of us staying 4 nights from Wednesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, lets try one of the others.",[],book_hotel
Okay thank you. That is all I need.,[],NONE
I'm looking for a particular B&B. Do you handle those?,[],find_hotel
Oh dear well what about local guest houses instead? I need to book it for 6 people for 5 nights staring from Monday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-name', 'hotel-type']",book_hotel
I'm looking for a hotel called Rosa's Bed and Breakfast.,[],book_hotel
"yes, please! for 6 people for 5 nights starting on monday",[],book_hotel
"Perfect, that's all I need thanks.",[],NONE
I'm looking for a place to stay that provides wifi without any extra charges. Can you find something like that for me?,['hotel-internet'],find_hotel
"No, but I'd like a guesthouse of at leas 3 stars and I'd also like free parking.","['hotel-parking', 'hotel-stars', 'hotel-type']",find_hotel
Can you book it for me and get a reference number ?,[],find_hotel
4 people and 2 nights starting from sunday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
I also need a train.,[],NONE
I'm going from cambridge to stevenage on the same day as the hotel booking. I need to arrive by 12:30.,[],NONE
Great! What is the departure time?,[],NONE
"Sure! Can you tell me the cost, too?",[],NONE
"No, that's all. Thank you so much.",[],NONE
I may have gotten mixed up. I am departing from Stevenage to go to Cambridge. I'm sorry.,[],NONE
What is the cost and departure time of the TR7802 train?,[],NONE
"Thank you, that's all I need today.",[],NONE
I'm looking for a restaurant in the center of town that is in the moderate price range.,[],NONE
I want a russian food restaurant.,[],NONE
What about one that serves italian food?,[],NONE
"Yes, may I please have the postcode, address, and phone number of the Pizza Express at Regent Street?",[],NONE
Thank you! I'm also looking for a hotel in the same area.,['hotel-area'],find_hotel
I would like one that includes free wifi please,['hotel-internet'],find_hotel
Yes that would be great do they have free parking?,[],find_hotel
"That's not necessary, could you just give me their phone number please? I also need some help finding a taxi to commute from the hotel to restaurant.",[],find_hotel
8:15 please is when I want the taxi to pick me up.,[],NONE
Okay great. That is all I need.,[],NONE
I am looking for a train that departs from kings lynn. I need to leave after 11:30.,[],NONE
I would like to leave from Kings Lynn and go to Cambridge.,[],NONE
"Can I get the travel time, and arrival time of that?",[],NONE
Thank you. I am also looking for a 4 star hotel on the east side.,"['hotel-area', 'hotel-stars']",find_hotel
"That's fine, can you find one in the moderate price range with free parking.",[],find_hotel
I'm still thinking about it. Can you please provide me with the address and phone number?,[],find_hotel
thanks for all of your help today,[],NONE
Thank you for your time.,[],NONE
Can you help me find a guesthouse that includes free parking?,"['hotel-parking', 'hotel-type']",find_hotel
"I need something cheap, but I am hoping for at least 4 stars. Is that possible?","['hotel-pricerange', 'hotel-stars']",find_hotel
How about the guesthouse in the west? Do you know if they offer internet?,['hotel-area'],find_hotel
"Thank you, I also need to know if theres a train that leaves from cambridge after 14:15.",[],NONE
I will be going to Ely.,[],NONE
"I'm sorry, the train I'm looking for should depart Friday and go to London Kings Cross, not Ely.",[],NONE
I need 5 tickets for that one.,[],NONE
That is all. Thanks so much!,[],NONE
no I think that is it thanks so much for all of your help today you have been great,[],NONE
I need to find a Train leaving on Friday from London Liverpool Street and arriving in Cambridge.,[],NONE
Yes I'd like to arrive in Cambridge by 15:15.,[],NONE
"No thank you, may I please get the travel time of TR5015?",[],NONE
"Yes, what time does that train leave?",[],NONE
"Please book it for me.I also need a place to stay,a guesthouse with free parking ?","['hotel-parking', 'hotel-type']",find_hotel
"Thank you, I'm also looking for a place to stay. Can you help me find someplace?",[],find_hotel
"I don't need any specific area, just need a guesthouse that is cheap and includes free parking.","['hotel-area', 'hotel-pricerange']",find_hotel
"No I don't. Pick any of the 33 and give me the address and area, please.",['hotel-stars'],find_hotel
Can you tell me what area it's in? And can you give me an address?,[],find_hotel
Perfect. Thank you. That's all the information I need for Cambridge. You have been a great help!,[],NONE
I'm planning a trip with an Arthurian theme. I've heard there's a hotel called Avalon there in Cambridge. Is that right?,['hotel-name'],find_hotel
"Actually, can you book 6 people for 3 nights starting on wednesday?","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Is there a reference number for the hotel? I also need a train to london liverpool street. Can you help with that too?,[],NONE
"I need to get to liverpool st on saturday, but I can't leave cambridge until after 13:45",[],NONE
"Yes please, for 6 people.",[],NONE
That's all I need for today. Thanks!,[],NONE
I am looking for a place to go that includes boats. Can you please help me plan my trip?,[],NONE
"No, I don't have a preference. Which one do you suggest?",[],NONE
That is great is there a hotel near by that has free wifi and is on the cheaper side?,"['hotel-area', 'hotel-internet', 'hotel-pricerange', 'hotel-type']",find_hotel
I would like one with free parking.,['hotel-parking'],find_hotel
I would prefer a hotel over a guesthouse. Are there any that would meet the criteria I've listed?,[],find_hotel
I really need a hotel in the east.,[],find_hotel
No I really need the price range to be cheap. Are there any that come up close to that price range?,[],find_hotel
"I'm sorry, I misspoke earlier. The Allenbell will be fine. Could you see if they have any rooms starting on Tuesday for 3 nights? There will be 8 people.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-name']",book_hotel
"Yes, I would also like a taxi that will leave from Camboats by 07:45. Could you also provide me with its contact number and car type?",[],NONE
"Thanks, that's all I need. Have a nice day.",[],NONE
I need a hotel room. Are there any left?,[],find_hotel
A place in the west with free parking and free wifi please.,"['hotel-area', 'hotel-internet', 'hotel-parking']",find_hotel
Not really. I would like you to pick one and book it for 5 people for 3 nights staring from Wednesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-pricerange']",book_hotel
"yes please, I need the reference number",[],book_hotel
Can yo find an Indian restaurant in the moderate price range?,[],book_hotel
I would like it in the same area as my hotel.,[],NONE
"Sounds great, can you reserve me for 5 people on wednesday at 13:45?",[],book_hotel
"Thank you so much, Goodbye!",[],NONE
"Can you recommend a nightclub in town, please?",[],NONE
Let's see what's available in the centre,[],NONE
"Can you give me the address and postcode, please?",[],NONE
Also I need a hotel called a and b guest house.,['hotel-name'],find_hotel
whats the postcode and address to a and b guest house please,[],find_hotel
"Nope, that's all I needed!",[],NONE
i need a 4 star place to stay which should include free wifi.,"['hotel-internet', 'hotel-stars']",find_hotel
I need some place cheap. Thanks,['hotel-pricerange'],find_hotel
"I don't care, book it for 6 people and 2 nights starting from friday","['hotel-area', 'hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Thanks. I also want info on concert halls in the south.,[],book_hotel
Let's try a cinema in the south instead then,[],NONE
"Yes, please tell me the phone number, postcode, and entrance fee.",[],NONE
I need a taxi. I want to leave the cinema at 13:30 and go to the hotel. Please give me car type and contact info,[],NONE
"No, that will be all. Thanks.",[],NONE
I would like to find a 2 star hotel to stay at that also includes free parking. Do you have any suggestions?,"['hotel-parking', 'hotel-stars', 'hotel-type']",find_hotel
I need a guesthouse.,[],find_hotel
Then a hotel please. What are my options?,[],find_hotel
Okay can I make a booking at Ashley Hotel for 6 people and 5 nights starting from thursday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-name']",book_hotel
no that's it thanks for your help,[],NONE
"Hi, I am looking forward to trying some local restaurants. Can you help me find a place that serves Russian food?",[],NONE
"Sure, can you look up chinese food instead?",[],NONE
Can we try something expensive.,[],NONE
It doesn't matter. Just choose one for me. I'll need to know the area that it's located in.,[],NONE
Great! I'm also looking for a place to stay. The hotel should include free wifi and should be in the type of guesthouse.,"['hotel-internet', 'hotel-type']",find_hotel
"Wow. That seems like a lot. I don't need free parking, if that helps to narrow the search.",[],find_hotel
"Yes, please. I need rooms for 3 people for 4 nights starting on Friday.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Thank you! I also need to book a taxi there, leaving my hotel at 4:00. Can you please do that, and give me the contact number and car type?",[],NONE
I do think that is all I need. Thanks. Good day.,[],NONE
"I'm visiting cambridge, I want to spoil myself, I am looking for a four star place to stay which is expensive.","['hotel-pricerange', 'hotel-stars']",find_hotel
"It doesn't really matter what area. But, I really prefer a hotel over a guesthouse. Do you have any?","['hotel-area', 'hotel-type']",find_hotel
We were wanting to have free wifi. Do either of them provide that?,['hotel-internet'],find_hotel
I would like to book the University Arms for five nights. Could you do that for me?,"['hotel-bookstay', 'hotel-name']",book_hotel
2 people and 5 nights starting on teusday,"['hotel-bookday', 'hotel-bookpeople']",book_hotel
I am looking for a place to dine,[],NONE
It should be in the north and it should be expensive.,[],book_hotel
A French restaurant is fine. Can you make a recommendation?,[],NONE
"Yes, please. The reservation will need to be for Tuesday, 2 people, and we'd like to dine at 15:15.",[],book_hotel
I'd like to book a taxi from the hotel to the restaurant to get there by 15:15.,[],book_hotel
Can you recommend a guesthouse at a moderate price?,"['hotel-pricerange', 'hotel-type']",find_hotel
No area does not matter but I need free wifi.,"['hotel-area', 'hotel-internet']",find_hotel
I am looking for something in a moderate price range.,[],find_hotel
Yes I would like to book that for 8 people for 3 nights staring on a Wednesday.,"['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Thanks, I'm also looking for a place that serves Korean food.",[],NONE
"If it is in the same price range as the hotel, may I please have the postcode and phone number?",[],NONE
Yes. I really would prefer somewhere moderately priced.,[],book_hotel
"Yes, I would like to see if you have any restaurants that serve Modern European food.",[],NONE
"No, I want to make sure that this place it to my liking first. Can you just give me their postcode and phone number so I can call them up?",[],NONE
that is it for today thanks alot,[],NONE
Can you help me find a hotel that has free wifi?,"['hotel-internet', 'hotel-type']",find_hotel
I would like something cheap in the north part of town.,"['hotel-area', 'hotel-pricerange']",find_hotel
"Sure, but can I get one that also has free parking?",['hotel-parking'],find_hotel
It doesn't matter. The Ashley is fine.,[],find_hotel
"There will be 6 of us arriving on Sunday, and we need to stay for 4 nights.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay', 'hotel-name']",book_hotel
"Thank you, that is it bye.",[],NONE
"Yeah, could you find me a train? I'm in Cambridge, and I'd like to go over to Birmingham New Street.",[],NONE
"Yes, I'd like to leave after 21:00 on Wednesday.",[],NONE
I will take the 21:01. the ticket is just for me and I would like a reference number after the booking is completed.,[],NONE
"Great, thank you! I'd like to find a place to stay, too. I'm thinking of something in the moderate range with free parking. Any ideas?","['hotel-parking', 'hotel-pricerange']",find_hotel
"No preference on area, but can you see if there are any that have 4 stars?","['hotel-area', 'hotel-stars']",find_hotel
I'll take whichever one doesn't include Internet.,['hotel-internet'],find_hotel
Would you like to book one of those today?,[],find_hotel
"Okay, let's try that one.",[],find_hotel
Does it have four stars?,[],find_hotel
That sounds perfect. Can I have the postcode and phone number please?,[],find_hotel
No that sounds perfect. Thank you for all your help.,[],NONE
I am looking for a place to stay that is a guesthouse located in the center of town.,"['hotel-area', 'hotel-type']",find_hotel
The hotel should have a star of 0 and should include free parking.,"['hotel-parking', 'hotel-stars']",find_hotel
"Yes, four people for four nights, starting Sunday, please.","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
Can you try another hotel in the same price range?,[],book_hotel
Yes please do try that.,[],book_hotel
Thank you. Can you give me the address and the phone number?,[],book_hotel
No. I think that is all I need. Thanks for your help!,[],NONE
I need a guesthouse in the cheap price range.,"['hotel-pricerange', 'hotel-type']",find_hotel
Do any of these hotels have 4 stars?,[],find_hotel
"Any area is fine, but I'd like to book rooms for 8 people. We'll be staying 5 nights, beginning on Saturday. Can any of them accommodate that?","['hotel-bookday', 'hotel-bookpeople', 'hotel-bookstay']",book_hotel
"Yes, I am also looking for a restaurant called The Nirala.",[],book_hotel
"I'd like to book a table there for 8 at 16:00 on Saturday, please.",[],book_hotel
"Yes, see if 15:00 is available.",[],NONE
Could you please provide the reference number?,[],NONE
Great - that's all I need today. Thanks for your help!,[],NONE
I am looking for places to go and I would like something in the centre.,[],find_hotel
"I am looking for any type of attraction in the centre, just need the entrance fee, phone number, and attraction type.",[],find_hotel
Great. I'm going to need a hotel too. It needs to be cheap but have a 4 star rating.,"['hotel-area', 'hotel-pricerange', 'hotel-stars']",find_hotel
I would like it to be in the same area as all saints church.,[],find_hotel
Can you check again?,[],find_hotel
I guess you can book that then. For two nights starting on Friday.,"['hotel-bookday', 'hotel-bookstay']",book_hotel
There will be 5 of us.,['hotel-bookpeople'],book_hotel
Can I also get a taxi to commute between the locations?,[],NONE
I'd like to leave by 6:30 am.,[],NONE
That's all I needed. Thank you for all of your help!,[],NONE
i want to go to a park,[],NONE
anywhere is fine. May I get a postcode ?,[],NONE
"I'm also looking for a hotel to stay in. I need to make sure it's a hotel and not a guesthouse, with a star of 4.","['hotel-stars', 'hotel-type']",find_hotel
